latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
22.31508,-81.33021,321.22,1.04,1.02,2025-04-07,1459,T,70,6.1NRT,302.37,12.57,D
22.2219,-80.65808,331.28,1.01,1,2025-04-07,1459,T,83,6.1NRT,301,21.68,D
21.80499,-79.99355,318.78,1,1,2025-04-07,1459,T,67,6.1NRT,300.69,8.11,D
21.15561,-76.65183,333.17,1.36,1.15,2025-04-07,1501,T,84,6.1NRT,304.13,37.52,D
20.2422,-74.96732,311.84,1.85,1.33,2025-04-07,1501,T,40,6.1NRT,297.09,15.7,D
20.2827,-77.10384,325.11,1.31,1.14,2025-04-07,1501,T,78,6.1NRT,301.93,21.9,D
20.2807,-77.09164,319.86,1.32,1.14,2025-04-07,1501,T,66,6.1NRT,301.26,14.22,D
20.16592,-77.20544,321.49,1.3,1.13,2025-04-07,1501,T,66,6.1NRT,303.12,12.71,D
18.71373,-70.71999,312.46,4.19,1.9,2025-04-07,1501,T,61,6.1NRT,291.96,70.06,D
18.70721,-70.72403,315.54,4.19,1.9,2025-04-07,1501,T,68,6.1NRT,293.32,90.03,D
46.6001,-72.81867,302.22,1,1,2025-04-07,1454,T,51,6.1NRT,274.22,9.08,D
38.20463,-96.96891,315.88,1.24,1.11,2025-04-07,1635,T,56,6.1NRT,294.16,15.56,D
38.14901,-96.6506,308.99,1.29,1.13,2025-04-07,1635,T,17,6.1NRT,293.64,7.38,D
38.14175,-96.66743,312.94,1.29,1.13,2025-04-07,1635,T,71,6.1NRT,292.86,12.02,D
38.13927,-96.65337,325.6,1.29,1.13,2025-04-07,1635,T,83,6.1NRT,293.24,29.18,D
19.88639,-102.89705,318.09,1.16,1.07,2025-04-07,1639,T,44,6.1NRT,304.91,8.8,D
38.15184,-96.84002,319.92,1.26,1.12,2025-04-07,1635,T,79,6.1NRT,293.13,21.29,D
38.15914,-96.93887,311.94,1.25,1.11,2025-04-07,1635,T,70,6.1NRT,294.39,11.4,D
19.88466,-102.88619,327.29,1.16,1.07,2025-04-07,1639,T,79,6.1NRT,305.27,19.45,D
38.15673,-96.9252,312.12,1.25,1.11,2025-04-07,1635,T,70,6.1NRT,293.84,11.66,D
19.68675,-103.33188,317.46,1.11,1.05,2025-04-07,1639,T,62,6.1NRT,305.17,5.68,D
38.14954,-96.94157,340.58,1.25,1.11,2025-04-07,1635,T,92,6.1NRT,295.77,56.78,D
48.33266,-97.54405,306.65,1,1,2025-04-07,1633,T,64,6.1NRT,280.66,8.64,D
19.642,-103.39816,319.7,1.1,1.05,2025-04-07,1639,T,50,6.1NRT,307.84,8.15,D
38.14713,-96.92792,331.82,1.25,1.11,2025-04-07,1635,T,87,6.1NRT,294.07,38.58,D
18.97227,-99.33987,334.39,2.07,1.4,2025-04-07,1639,T,86,6.1NRT,294.91,90.71,D
38.04218,-96.45652,315.35,1.32,1.14,2025-04-07,1635,T,74,6.1NRT,292.54,16.34,D
46.12571,-98.13358,302.14,1,1,2025-04-07,1633,T,44,6.1NRT,275.38,8.37,D
38.03955,-96.44208,328.33,1.33,1.14,2025-04-07,1635,T,85,6.1NRT,292.28,36.67,D
18.95973,-99.33974,341.18,2.07,1.4,2025-04-07,1639,T,90,6.1NRT,298.58,119.25,D
46.12392,-98.12109,306.35,1,1,2025-04-07,1633,T,60,6.1NRT,276.5,10.61,D
38.03234,-96.45943,336.69,1.32,1.14,2025-04-07,1635,T,90,6.1NRT,293.39,53.32,D
19.03086,-100.08409,315.75,1.81,1.32,2025-04-07,1639,T,50,6.1NRT,302.13,18.59,D
43.26872,-94.59123,302.62,1.3,1.13,2025-04-07,1635,T,53,6.1NRT,284.16,6.45,D
38.02969,-96.44496,315.66,1.33,1.14,2025-04-07,1635,T,75,6.1NRT,291.48,16.47,D
19.02789,-100.06734,323.61,1.81,1.32,2025-04-07,1639,T,77,6.1NRT,301.2,37.49,D
43.23328,-95.66349,301.5,1.18,1.08,2025-04-07,1635,T,47,6.1NRT,284.44,4.91,D
38.10627,-96.92512,308.34,1.25,1.11,2025-04-07,1635,T,63,6.1NRT,292.83,7.54,D
19.03089,-100.07335,315.26,1.81,1.32,2025-04-07,1639,T,39,6.1NRT,301.14,17.74,D
42.85074,-93.97635,315.26,1.42,1.18,2025-04-07,1635,T,76,6.1NRT,283.77,22.82,D
37.87204,-95.65848,311.93,1.47,1.2,2025-04-07,1635,T,72,6.1NRT,291.32,16.48,D
19.01942,-100.07535,337.54,1.81,1.32,2025-04-07,1639,T,88,6.1NRT,303.64,77.75,D
42.92619,-95.05104,301.64,1.26,1.12,2025-04-07,1635,T,48,6.1NRT,283.74,6.48,D
18.99646,-100.07924,313.15,1.81,1.32,2025-04-07,1639,T,36,6.1NRT,301.31,11.56,D
38.10241,-96.9176,305.8,1.25,1.11,2025-04-07,1635,T,43,6.1NRT,292.77,5.38,D
43.40391,-98.88439,315.57,1,1,2025-04-07,1635,T,76,6.1NRT,286,13.57,D
19.13576,-100.96124,317.61,1.55,1.23,2025-04-07,1639,T,58,6.1NRT,306.69,11.44,D
37.87729,-95.66251,304.64,1.47,1.2,2025-04-07,1635,T,46,6.1NRT,291.46,7.88,D
43.40218,-98.87246,306.54,1,1,2025-04-07,1635,T,64,6.1NRT,286.07,7.26,D
18.79229,-98.99103,325.49,2.21,1.44,2025-04-07,1639,T,77,6.1NRT,304.1,41.37,D
37.87434,-95.64654,302.53,1.47,1.2,2025-04-07,1635,T,26,6.1NRT,290.28,6.02,D
41.67722,-90.19624,324.66,2.48,1.52,2025-04-07,1635,T,83,6.1NRT,286.27,85.62,D
18.7886,-98.97054,331.6,2.22,1.44,2025-04-07,1639,T,83,6.1NRT,304.21,64.34,D
38.09701,-97.17444,322.8,1.22,1.1,2025-04-07,1635,T,81,6.1NRT,294.68,23.88,D
